26 73|56 75|19 85|8 63|52 42|16 86|9 89|77 32|47 20|26 62|58 86|65 95|95 21|18 67|22 76|51 41|
66 29|40 35|37 45|52 51|72 54|34 30|54 52|36 48|30 26|52 57|58 69|31 54|73 55|55 61|71 52|70 49|
29 34|35 60|45 63|51 48|54 28|30 66|52 46|48 64|26 70|57 48|69 42|54 69|55 27|61 45|52 29|49 30|
34 71|60 65|63 55|48 49|28 46|66 70|46 48|64 52|70 74|48 43|42 31|69 46|27 45|45 39|29 48|30 51|
34 54|27 74|61 68|29 47|32 60|70 44|49 53|52 55|72 31|69 38|73 45|56 65|58 58|0 28|63 70|68 42|
66 54|73 74|39 68|71 47|68 60|30 44|51 53|48 55|28 31|31 38|27 45|44 65|42 58|100 28|37 70|32 42|
34 46|27 26|61 32|29 53|32 40|70 56|49 47|52 45|72 69|69 62|73 55|56 35|58 42|0 72|63 30|68 58|
54 34|74 27|68 61|47 29|60 32|44 70|53 49|55 52|31 72|38 69|45 73|65 56|58 58|28 0|70 63|42 68|
54 66|74 73|68 39|47 71|60 68|44 30|53 51|55 48|31 28|38 31|45 27|65 44|58 42|28 100|70 37|42 32|
66 46|73 26|39 32|71 53|68 40|30 56|51 47|48 45|28 69|31 62|27 55|44 35|42 42|100 72|37 30|32 58|
46 34|26 27|32 61|53 29|40 32|56 70|47 49|45 52|69 72|62 69|55 73|35 56|42 58|72 0|30 63|58 68|
53 45|71 70|74 33|52 35|38 53|63 36|32 28|63 54|47 44|39 36|51 43|47 52|46 52|0 0|36 34|85 85|
47 45|29 70|26 33|48 35|62 53|37 36|68 28|37 54|53 44|61 36|49 43|53 52|54 52|100 0|64 34|15 85|
53 55|71 30|74 67|52 65|38 47|63 64|32 72|63 46|47 56|39 64|51 57|47 48|46 48|0 100|36 66|85 15|
45 53|70 71|33 74|35 52|53 38|36 63|28 32|54 63|44 47|36 39|43 51|52 47|52 46|0 0|34 36|85 85|
45 47|70 29|33 26|35 48|53 62|36 37|28 68|54 37|44 53|36 61|43 49|52 53|52 54|0 100|34 64|85 15|
47 55|29 30|26 67|48 65|62 47|37 64|68 72|37 46|53 56|61 64|49 57|53 48|54 48|100 100|64 66|15 15|
55 53|30 71|67 74|65 52|47 38|64 63|72 32|46 63|56 47|64 39|57 51|48 47|48 46|100 0|66 36|15 85|
41 64|73 54|30 67|40 42|46 55|63 66|65 47|42 55|68 26|65 42|63 64|32 26|35 65|42 43|66 48|79 84|
59 64|27 54|70 67|60 42|54 55|37 66|35 47|58 55|32 26|35 42|37 64|68 26|65 65|58 43|34 48|21 84|
41 36|73 46|30 33|40 58|46 45|63 34|65 53|42 45|68 74|65 58|63 36|32 74|35 35|42 57|66 52|79 16|
64 41|54 73|67 30|42 40|55 46|66 63|47 65|55 42|26 68|42 65|64 63|26 32|65 35|43 42|48 66|84 79|
64 59|54 27|67 70|42 60|55 54|66 37|47 35|55 58|26 32|42 35|64 37|26 68|65 65|43 58|48 34|84 21|
59 36|27 46|70 33|60 58|54 45|37 34|35 53|58 45|32 74|35 58|37 36|68 74|65 35|58 57|34 52|21 16|
36 41|46 73|33 30|58 40|45 46|34 63|53 65|45 42|74 68|58 65|36 63|74 32|35 35|57 42|52 66|16 79|
72 40|45 43|49 34|54 46|60 59|56 71|64 52|45 42|38 65|42 38|42 25|49 35|41 62|5 99|38 0|55 68|
28 40|55 43|51 34|46 46|40 59|44 71|36 52|55 42|62 65|58 38|58 25|51 35|59 62|95 99|62 0|45 68|
72 60|45 57|49 66|54 54|60 41|56 29|64 48|45 58|38 35|42 62|42 75|49 65|41 38|5 1|38 100|55 32|
40 72|43 45|34 49|46 54|59 60|71 56|52 64|42 45|65 38|38 42|25 42|35 49|62 41|99 5|0 38|68 55|
40 28|43 55|34 51|46 46|59 40|71 44|52 36|42 55|65 62|38 58|25 58|35 51|62 59|99 95|0 62|68 45|
28 60|55 57|51 66|46 54|40 41|44 29|36 48|55 58|62 35|58 62|58 75|51 65|59 38|95 1|62 100|45 32|
60 72|57 45|66 49|54 54|41 60|29 56|48 64|58 45|35 38|62 42|75 42|65 49|38 41|1 5|100 38|32 55|
35 59|62 61|74 46|56 73|64 62|56 66|74 65|36 28|54 43|40 33|48 58|58 61|59 62|41 34|47 59|55 64|
65 59|38 61|26 46|44 73|36 62|44 66|26 65|64 28|46 43|60 33|52 58|42 61|41 62|59 34|53 59|45 64|
35 41|62 39|74 54|56 27|64 38|56 34|74 35|36 72|54 57|40 67|48 42|58 39|59 38|41 66|47 41|55 36|
59 35|61 62|46 74|73 56|62 64|66 56|65 74|28 36|43 54|33 40|58 48|61 58|62 59|34 41|59 47|64 55|
59 65|61 38|46 26|73 44|62 36|66 44|65 26|28 64|43 46|33 60|58 52|61 42|62 41|34 59|59 53|64 45|
65 41|38 39|26 54|44 27|36 38|44 34|26 35|64 72|46 57|60 67|52 42|42 39|41 38|59 66|53 41|45 36|
41 35|39 62|54 74|27 56|38 64|34 56|35 74|72 36|57 54|67 40|42 48|39 58|38 59|66 41|41 47|36 55|
33 30|33 58|62 62|28 29|44 29|44 55|72 52|51 54|41 57|70 72|69 25|63 60|40 57|0 0|42 55|62 61|
67 30|67 58|38 62|72 29|56 29|56 55|28 52|49 54|59 57|30 72|31 25|37 60|60 57|100 0|58 55|38 61|
33 70|33 42|62 38|28 71|44 71|44 45|72 48|51 46|41 43|70 28|69 75|63 40|40 43|0 100|42 45|62 39|
30 33|58 33|62 62|29 28|29 44|55 44|52 72|54 51|57 41|72 70|25 69|60 63|57 40|0 0|55 42|61 62|
30 67|58 67|62 38|29 72|29 56|55 56|52 28|54 49|57 59|72 30|25 31|60 37|57 60|0 100|55 58|61 38|
67 70|67 42|38 38|72 71|56 71|56 45|28 48|49 46|59 43|30 28|31 75|37 40|60 43|100 100|58 45|38 39|
70 33|42 33|38 62|71 28|71 44|45 44|48 72|46 51|43 41|28 70|75 69|40 63|43 40|100 0|45 42|39 62|
56 61|63 54|49 34|57 37|73 33|27 55|49 56|52 49|74 67|56 62|36 55|55 53|47 27|53 36|65 57|92 93|
44 61|37 54|51 34|43 37|27 33|73 55|51 56|48 49|26 67|44 62|64 55|45 53|53 27|47 36|35 57|8 93|
56 39|63 46|49 66|57 63|73 67|27 45|49 44|52 51|74 33|56 38|36 45|55 47|47 73|53 64|65 43|92 7|
61 56|54 63|34 49|37 57|33 73|55 27|56 49|49 52|67 74|62 56|55 36|53 55|27 47|36 53|57 65|93 92|
61 44|54 37|34 51|37 43|33 27|55 73|56 51|49 48|67 26|62 44|55 64|53 45|27 53|36 47|57 35|93 8|
44 39|37 46|51 66|43 63|27 67|73 45|51 44|48 51|26 33|44 38|64 45|45 47|53 73|47 64|35 43|8 7|
39 56|46 63|66 49|63 57|67 73|45 27|44 49|51 52|33 74|38 56|45 36|47 55|73 47|64 53|43 65|7 92|
29 26|42 39|38 56|37 54|69 28|40 38|54 43|30 55|35 31|64 56|35 53|29 66|54 36|0 0|49 45|81 69|
71 26|58 39|62 56|63 54|31 28|60 38|46 43|70 55|65 31|36 56|65 53|71 66|46 36|100 0|51 45|19 69|
29 74|42 61|38 44|37 46|69 72|40 62|54 57|30 45|35 69|64 44|35 47|29 34|54 64|0 100|49 55|81 31|
26 29|39 42|56 38|54 37|28 69|38 40|43 54|55 30|31 35|56 64|53 35|66 29|36 54|0 0|45 49|69 81|
26 71|39 58|56 62|54 63|28 31|38 60|43 46|55 70|31 65|56 36|53 65|66 71|36 46|0 100|45 51|69 19|
71 74|58 61|62 44|63 46|31 72|60 62|46 57|70 45|65 69|36 44|65 47|71 34|46 64|100 100|51 55|19 31|
74 29|61 42|44 38|46 37|72 69|62 40|57 54|45 30|69 35|44 64|47 35|34 29|64 54|100 0|55 49|31 81|
33 50|70 39|63 42|63 69|32 58|53 27|65 74|50 37|30 40|59 45|27 35|57 57|26 68|45 0|46 4|51 38|
67 50|30 39|37 42|37 69|68 58|47 27|35 74|50 37|70 40|41 45|73 35|43 57|74 68|55 0|54 4|49 38|
33 50|70 61|63 58|63 31|32 42|53 73|65 26|50 63|30 60|59 55|27 65|57 43|26 32|45 100|46 96|51 62|
50 33|39 70|42 63|69 63|58 32|27 53|74 65|37 50|40 30|45 59|35 27|57 57|68 26|0 45|4 46|38 51|
50 67|39 30|42 37|69 37|58 68|27 47|74 35|37 50|40 70|45 41|35 73|57 43|68 74|0 55|4 54|38 49|
67 50|30 61|37 58|37 31|68 42|47 73|35 26|50 63|70 60|41 55|73 65|43 43|74 32|55 100|54 96|49 62|
50 33|61 70|58 63|31 63|42 32|73 53|26 65|63 50|60 30|55 59|65 27|43 57|32 26|100 45|96 46|62 51|
72 29|65 42|36 36|32 66|30 67|65 46|67 61|43 43|47 43|62 52|68 46|40 55|68 36|0 83|43 54|61 55|
28 29|35 42|64 36|68 66|70 67|35 46|33 61|57 43|53 43|38 52|32 46|60 55|32 36|100 83|57 54|39 55|
72 71|65 58|36 64|32 34|30 33|65 54|67 39|43 57|47 57|62 48|68 54|40 45|68 64|0 17|43 46|61 45|
29 72|42 65|36 36|66 32|67 30|46 65|61 67|43 43|43 47|52 62|46 68|55 40|36 68|83 0|54 43|55 61|
29 28|42 35|36 64|66 68|67 70|46 35|61 33|43 57|43 53|52 38|46 32|55 60|36 32|83 100|54 57|55 39|
28 71|35 58|64 64|68 34|70 33|35 54|33 39|57 57|53 57|38 48|32 54|60 45|32 64|100 17|57 46|39 45|
71 72|58 65|64 36|34 32|33 30|54 65|39 67|57 43|57 47|48 62|54 68|45 40|64 68|17 0|46 43|45 61|
62 59|68 61|44 64|63 71|53 59|65 61|41 38|28 30|53 64|64 73|34 34|28 70|54 31|39 37|44 58|66 76|
38 59|32 61|56 64|37 71|47 59|35 61|59 38|72 30|47 64|36 73|66 34|72 70|46 31|61 37|56 58|34 76|
62 41|68 39|44 36|63 29|53 41|65 39|41 62|28 70|53 36|64 27|34 66|28 30|54 69|39 63|44 42|66 24|
59 62|61 68|64 44|71 63|59 53|61 65|38 41|30 28|64 53|73 64|34 34|70 28|31 54|37 39|58 44|76 66|
59 38|61 32|64 56|71 37|59 47|61 35|38 59|30 72|64 47|73 36|34 66|70 72|31 46|37 61|58 56|76 34|
38 41|32 39|56 36|37 29|47 41|35 39|59 62|72 70|47 36|36 27|66 66|72 30|46 69|61 63|56 42|34 24|
41 62|39 68|36 44|29 63|41 53|39 65|62 41|70 28|36 53|27 64|66 34|30 28|69 54|63 39|42 44|24 66|
71 36|36 70|68 61|25 27|43 53|73 64|39 43|38 37|54 40|37 43|62 53|45 52|45 48|0 0|39 44|44 48|
29 36|64 70|32 61|75 27|57 53|27 64|61 43|62 37|46 40|63 43|38 53|55 52|55 48|100 0|61 44|56 48|
71 64|36 30|68 39|25 73|43 47|73 36|39 57|38 63|54 60|37 57|62 47|45 48|45 52|0 100|39 56|44 52|
36 71|70 36|61 68|27 25|53 43|64 73|43 39|37 38|40 54|43 37|53 62|52 45|48 45|0 0|44 39|48 44|
36 29|70 64|61 32|27 75|53 57|64 27|43 61|37 62|40 46|43 63|53 38|52 55|48 55|0 100|44 61|48 56|
29 64|64 30|32 39|75 73|57 47|27 36|61 57|62 63|46 60|63 57|38 47|55 48|55 52|100 100|61 56|56 52|
64 71|30 36|39 68|73 25|47 43|36 73|57 39|63 38|60 54|57 37|47 62|48 45|52 45|100 0|56 39|52 44|
65 45|39 31|72 43|25 67|70 25|36 61|67 58|66 52|43 58|57 33|67 45|32 29|58 48|0 14|46 53|74 60|
35 45|61 31|28 43|75 67|30 25|64 61|33 58|34 52|57 58|43 33|33 45|68 29|42 48|100 14|54 53|26 60|
65 55|39 69|72 57|25 33|70 75|36 39|67 42|66 48|43 42|57 67|67 55|32 71|58 52|0 86|46 47|74 40|
45 65|31 39|43 72|67 25|25 70|61 36|58 67|52 66|58 43|33 57|45 67|29 32|48 58|14 0|53 46|60 74|
45 35|31 61|43 28|67 75|25 30|61 64|58 33|52 34|58 57|33 43|45 33|29 68|48 42|14 100|53 54|60 26|
35 55|61 69|28 57|75 33|30 75|64 39|33 42|34 48|57 42|43 67|33 55|68 71|42 52|100 86|54 47|26 40|
55 65|69 39|57 72|33 25|75 70|39 36|42 67|48 66|42 43|67 57|55 67|71 32|52 58|86 0|47 46|40 74|
26 70|41 49|54 28|51 55|50 56|51 61|66 56|35 48|55 26|31 61|42 50|73 69|31 41|6 99|42 51|61 46|
74 70|59 49|46 28|49 55|50 56|49 61|34 56|65 48|45 26|69 61|58 50|27 69|69 41|94 99|58 51|39 46|
26 30|41 51|54 72|51 45|50 44|51 39|66 44|35 52|55 74|31 39|42 50|73 31|31 59|6 1|42 49|61 54|
70 26|49 41|28 54|55 51|56 50|61 51|56 66|48 35|26 55|61 31|50 42|69 73|41 31|99 6|51 42|46 61|
70 74|49 59|28 46|55 49|56 50|61 49|56 34|48 65|26 45|61 69|50 58|69 27|41 69|99 94|51 58|46 39|
74 30|59 51|46 72|49 45|50 44|49 39|34 44|65 52|45 74|69 39|58 50|27 31|69 59|94 1|58 49|39 54|
30 26|51 41|72 54|45 51|44 50|39 51|44 66|52 35|74 55|39 31|50 42|31 73|59 31|1 6|49 42|54 61|
46 52|14 42|17 31|54 23|83 93|13 11|13 47|84 8|67 66|70 18|47 55|1 89|7 36|5 0|10 38|66 64|
54 52|86 42|83 31|46 23|17 93|87 11|87 47|16 8|33 66|30 18|53 55|99 89|93 36|95 0|90 38|34 64|
46 48|14 58|17 69|54 77|83 7|13 89|13 53|84 92|67 34|70 82|47 45|1 11|7 64|5 100|10 62|66 36|
52 46|42 14|31 17|23 54|93 83|11 13|47 13|8 84|66 67|18 70|55 47|89 1|36 7|0 5|38 10|64 66|
52 54|42 86|31 83|23 46|93 17|11 87|47 87|8 16|66 33|18 30|55 53|89 99|36 93|0 95|38 90|64 34|
54 48|86 58|83 69|46 77|17 7|87 89|87 53|16 92|33 34|30 82|53 45|99 11|93 64|95 100|90 62|34 36|
48 46|58 14|69 17|77 54|7 83|89 13|53 13|92 84|34 67|82 70|45 47|11 1|64 7|100 5|62 10|36 66|
25 33|85 57|99 85|20 29|47 73|23 91|33 83|31 81|32 48|91 71|91 37|30 81|28 42|22 31|23 82|78 40|
75 33|15 57|1 85|80 29|53 73|77 91|67 83|69 81|68 48|9 71|9 37|70 81|72 42|78 31|77 82|22 40|
25 67|85 43|99 15|20 71|47 27|23 9|33 17|31 19|32 52|91 29|91 63|30 19|28 58|22 69|23 18|78 60|
33 25|57 85|85 99|29 20|73 47|91 23|83 33|81 31|48 32|71 91|37 91|81 30|42 28|31 22|82 23|40 78|
33 75|57 15|85 1|29 80|73 53|91 77|83 67|81 69|48 68|71 9|37 9|81 70|42 72|31 78|82 77|40 22|
75 67|15 43|1 15|80 71|53 27|77 9|67 17|69 19|68 52|9 29|9 63|70 19|72 58|78 69|77 18|22 60|
67 25|43 85|15 99|71 20|27 47|9 23|17 33|19 31|52 32|29 91|63 91|19 30|58 28|69 22|18 23|60 78|
92 69|18 2|60 70|22 26|64 61|36 26|6 17|82 60|72 98|55 29|95 70|33 15|99 15|27 29|28 11|32 23|
8 69|82 2|40 70|78 26|36 61|64 26|94 17|18 60|28 98|45 29|5 70|67 15|1 15|73 29|72 11|68 23|
92 31|18 98|60 30|22 74|64 39|36 74|6 83|82 40|72 2|55 71|95 30|33 85|99 85|27 71|28 89|32 77|
69 92|2 18|70 60|26 22|61 64|26 36|17 6|60 82|98 72|29 55|70 95|15 33|15 99|29 27|11 28|23 32|
69 8|2 82|70 40|26 78|61 36|26 64|17 94|60 18|98 28|29 45|70 5|15 67|15 1|29 73|11 72|23 68|
8 31|82 98|40 30|78 74|36 39|64 74|94 83|18 40|28 2|45 71|5 30|67 85|1 85|73 71|72 89|68 77|
31 92|98 18|30 60|74 22|39 64|74 36|83 6|40 82|2 72|71 55|30 95|85 33|85 99|71 27|89 28|77 32|
98 6|6 12|22 15|95 12|76 94|62 46|74 89|64 46|65 78|2 87|51 16|91 45|53 66|66 47|87 44|90 45|
2 6|94 12|78 15|5 12|24 94|38 46|26 89|36 46|35 78|98 87|49 16|9 45|47 66|34 47|13 44|10 45|
98 94|6 88|22 85|95 88|76 6|62 54|74 11|64 54|65 22|2 13|51 84|91 55|53 34|66 53|87 56|90 55|
6 98|12 6|15 22|12 95|94 76|46 62|89 74|46 64|78 65|87 2|16 51|45 91|66 53|47 66|44 87|45 90|
6 2|12 94|15 78|12 5|94 24|46 38|89 26|46 36|78 35|87 98|16 49|45 9|66 47|47 34|44 13|45 10|
2 94|94 88|78 85|5 88|24 6|38 54|26 11|36 54|35 22|98 13|49 84|9 55|47 34|34 53|13 56|10 55|
94 98|88 6|85 22|88 95|6 76|54 62|11 74|54 64|22 65|13 2|84 51|55 91|34 53|53 66|56 87|55 90|
47 19|44 64|73 27|78 69|52 21|25 46|14 43|19 95|93 83|71 59|35 45|43 50|52 61|0 0|27 47|55 22|
53 19|56 64|27 27|22 69|48 21|75 46|86 43|81 95|7 83|29 59|65 45|57 50|48 61|100 0|73 47|45 22|
47 81|44 36|73 73|78 31|52 79|25 54|14 57|19 5|93 17|71 41|35 55|43 50|52 39|0 100|27 53|55 78|
19 47|64 44|27 73|69 78|21 52|46 25|43 14|95 19|83 93|59 71|45 35|50 43|61 52|0 0|47 27|22 55|
19 53|64 56|27 27|69 22|21 48|46 75|43 86|95 81|83 7|59 29|45 65|50 57|61 48|0 100|47 73|22 45|
53 81|56 36|27 73|22 31|48 79|75 54|86 57|81 5|7 17|29 41|65 55|57 50|48 39|100 100|73 53|45 78|
81 47|36 44|73 73|31 78|79 52|54 25|57 14|5 19|17 93|41 71|55 35|50 43|39 52|100 0|53 27|78 55|
38 46|7 14|36 28|16 67|36 71|14 19|76 82|48 48|28 69|68 6|0 89|10 78|85 47|17 21|37 47|45 51|
62 46|93 14|64 28|84 67|64 71|86 19|24 82|52 48|72 69|32 6|100 89|90 78|15 47|83 21|63 47|55 51|
38 54|7 86|36 72|16 33|36 29|14 81|76 18|48 52|28 31|68 94|0 11|10 22|85 53|17 79|37 53|45 49|
46 38|14 7|28 36|67 16|71 36|19 14|82 76|48 48|69 28|6 68|89 0|78 10|47 85|21 17|47 37|51 45|
46 62|14 93|28 64|67 84|71 64|19 86|82 24|48 52|69 72|6 32|89 100|78 90|47 15|21 83|47 63|51 55|
62 54|93 86|64 72|84 33|64 29|86 81|24 18|52 52|72 31|32 94|100 11|90 22|15 53|83 79|63 53|55 49|
54 38|86 7|72 36|33 16|29 36|81 14|18 76|52 48|31 28|94 68|11 0|22 10|53 85|79 17|53 37|49 45|
43 52|40 19|7 8|87 97|16 42|94 20|77 23|78 23|32 82|45 54|29 60|13 88|53 53|1 99|27 57|61 73|
57 52|60 19|93 8|13 97|84 42|6 20|23 23|22 23|68 82|55 54|71 60|87 88|47 53|99 99|73 57|39 73|
43 48|40 81|7 92|87 3|16 58|94 80|77 77|78 77|32 18|45 46|29 40|13 12|53 47|1 1|27 43|61 27|
52 43|19 40|8 7|97 87|42 16|20 94|23 77|23 78|82 32|54 45|60 29|88 13|53 53|99 1|57 27|73 61|
52 57|19 60|8 93|97 13|42 84|20 6|23 23|23 22|82 68|54 55|60 71|88 87|53 47|99 99|57 73|73 39|
57 48|60 81|93 92|13 3|84 58|6 80|23 77|22 77|68 18|55 46|71 40|87 12|47 47|99 1|73 43|39 27|
48 43|81 40|92 7|3 87|58 16|80 94|77 77|77 78|18 32|46 45|40 29|12 13|47 53|1 1|43 27|27 61|
31 87|31 35|79 5|55 79|87 86|30 13|72 62|66 56|13 15|9 95|56 53|85 84|82 3|0 1|53 50|60 49|
69 87|69 35|21 5|45 79|13 86|70 13|28 62|34 56|87 15|91 95|44 53|15 84|18 3|100 1|47 50|40 49|
31 13|31 65|79 95|55 21|87 14|30 87|72 38|66 44|13 85|9 5|56 47|85 16|82 97|0 99|53 50|60 51|
87 31|35 31|5 79|79 55|86 87|13 30|62 72|56 66|15 13|95 9|53 56|84 85|3 82|1 0|50 53|49 60|
87 69|35 69|5 21|79 45|86 13|13 70|62 28|56 34|15 87|95 91|53 44|84 15|3 18|1 100|50 47|49 40|
69 13|69 65|21 95|45 21|13 14|70 87|28 38|34 44|87 85|91 5|44 47|15 16|18 97|100 99|47 50|40 51|
13 31|65 31|95 79|21 55|14 87|87 30|38 72|44 66|85 13|5 9|47 56|16 85|97 82|99 0|50 53|51 60|
71 17|68 3|75 20|83 25|89 77|51 33|71 57|13 89|43 32|37 75|86 70|75 62|97 24|0 0|38 73|84 61|
29 17|32 3|25 20|17 25|11 77|49 33|29 57|87 89|57 32|63 75|14 70|25 62|3 24|100 0|62 73|16 61|
71 83|68 97|75 80|83 75|89 23|51 67|71 43|13 11|43 68|37 25|86 30|75 38|97 76|0 100|38 27|84 39|
17 71|3 68|20 75|25 83|77 89|33 51|57 71|89 13|32 43|75 37|70 86|62 75|24 97|0 0|73 38|61 84|
17 29|3 32|20 25|25 17|77 11|33 49|57 29|89 87|32 57|75 63|70 14|62 25|24 3|0 100|73 62|61 16|
29 83|32 97|25 80|17 75|11 23|49 67|29 43|87 11|57 68|63 25|14 30|25 38|3 76|100 100|62 27|16 39|
83 71|97 68|80 75|75 83|23 89|67 51|43 71|11 13|68 43|25 37|30 86|38 75|76 97|100 0|27 38|39 84|
99 95|22 97|83 33|62 66|4 54|21 10|64 52|24 82|70 41|41 39|22 69|76 74|57 54|19 65|37 33|55 48|
1 95|78 97|17 33|38 66|96 54|79 10|36 52|76 82|30 41|59 39|78 69|24 74|43 54|81 65|63 33|45 48|
99 5|22 3|83 67|62 34|4 46|21 90|64 48|24 18|70 59|41 61|22 31|76 26|57 46|19 35|37 67|55 52|
95 99|97 22|33 83|66 62|54 4|10 21|52 64|82 24|41 70|39 41|69 22|74 76|54 57|65 19|33 37|48 55|
95 1|97 78|33 17|66 38|54 96|10 79|52 36|82 76|41 30|39 59|69 78|74 24|54 43|65 81|33 63|48 45|
1 5|78 3|17 67|38 34|96 46|79 90|36 48|76 18|30 59|59 61|78 31|24 26|43 46|81 35|63 67|45 52|
5 99|3 22|67 83|34 62|46 4|90 21|48 64|18 24|59 70|61 41|31 22|26 76|46 57|35 19|67 37|52 55|
58 89|14 65|16 23|8 67|80 15|93 86|24 56|9 6|54 63|57 54|56 99|82 5|72 83|55 61|56 97|74 46|
42 89|86 65|84 23|92 67|20 15|7 86|76 56|91 6|46 63|43 54|44 99|18 5|28 83|45 61|44 97|26 46|
58 11|14 35|16 77|8 33|80 85|93 14|24 44|9 94|54 37|57 46|56 1|82 95|72 17|55 39|56 3|74 54|
89 58|65 14|23 16|67 8|15 80|86 93|56 24|6 9|63 54|54 57|99 56|5 82|83 72|61 55|97 56|46 74|
89 42|65 86|23 84|67 92|15 20|86 7|56 76|6 91|63 46|54 43|99 44|5 18|83 28|61 45|97 44|46 26|
42 11|86 35|84 77|92 33|20 85|7 14|76 44|91 94|46 37|43 46|44 1|18 95|28 17|45 39|44 3|26 54|
11 58|35 14|77 16|33 8|85 80|14 93|44 24|94 9|37 54|46 57|1 56|95 82|17 72|39 55|3 56|54 74|
30 60|15 63|29 52|94 98|99 76|92 96|12 53|79 79|33 42|35 10|18 74|77 74|30 61|6 99|17 70|32 41|
70 60|85 63|71 52|6 98|1 76|8 96|88 53|21 79|67 42|65 10|82 74|23 74|70 61|94 99|83 70|68 41|
30 40|15 37|29 48|94 2|99 24|92 4|12 47|79 21|33 58|35 90|18 26|77 26|30 39|6 1|17 30|32 59|
60 30|63 15|52 29|98 94|76 99|96 92|53 12|79 79|42 33|10 35|74 18|74 77|61 30|99 6|70 17|41 32|
60 70|63 85|52 71|98 6|76 1|96 8|53 88|79 21|42 67|10 65|74 82|74 23|61 70|99 94|70 83|41 68|
70 40|85 37|71 48|6 2|1 24|8 4|88 47|21 21|67 58|65 90|82 26|23 26|70 39|94 1|83 30|68 59|
40 30|37 15|48 29|2 94|24 99|4 92|47 12|21 79|58 33|90 35|26 18|26 77|39 30|1 6|30 17|59 32|
26 75|50 17|87 67|13 85|99 66|48 53|6 44|51 52|39 29|95 78|35 33|32 35|53 68|49 53|80 68|80 69|
74 75|50 17|13 67|87 85|1 66|52 53|94 44|49 52|61 29|5 78|65 33|68 35|47 68|51 53|20 68|20 69|
26 25|50 83|87 33|13 15|99 34|48 47|6 56|51 48|39 71|95 22|35 67|32 65|53 32|49 47|80 32|80 31|
75 26|17 50|67 87|85 13|66 99|53 48|44 6|52 51|29 39|78 95|33 35|35 32|68 53|53 49|68 80|69 80|
75 74|17 50|67 13|85 87|66 1|53 52|44 94|52 49|29 61|78 5|33 65|35 68|68 47|53 51|68 20|69 20|
74 25|50 83|13 33|87 15|1 34|52 47|94 56|49 48|61 71|5 22|65 67|68 65|47 32|51 47|20 32|20 31|
25 26|83 50|33 87|15 13|34 99|47 48|56 6|48 51|71 39|22 95|67 35|65 32|32 53|47 49|32 80|31 80|
30 78|4 88|14 71|88 10|78 44|8 7|24 75|78 30|96 92|37 58|28 24|6 5|36 83|0 91|33 59|79 20|
70 78|96 88|86 71|12 10|22 44|92 7|76 75|22 30|4 92|63 58|72 24|94 5|64 83|100 91|67 59|21 20|
30 22|4 12|14 29|88 90|78 56|8 93|24 25|78 70|96 8|37 42|28 76|6 95|36 17|0 9|33 41|79 80|
78 30|88 4|71 14|10 88|44 78|7 8|75 24|30 78|92 96|58 37|24 28|5 6|83 36|91 0|59 33|20 79|
78 70|88 96|71 86|10 12|44 22|7 92|75 76|30 22|92 4|58 63|24 72|5 94|83 64|91 100|59 67|20 21|
70 22|96 12|86 29|12 90|22 56|92 93|76 25|22 70|4 8|63 42|72 76|94 95|64 17|100 9|67 41|21 80|
22 30|12 4|29 14|90 88|56 78|93 8|25 24|70 78|8 96|42 37|76 28|95 6|17 36|9 0|41 33|80 79|
44 73|90 49|38 46|90 2|50 72|9 52|49 53|99 88|25 79|0 52|76 51|46 54|10 84|14 51|41 55|63 53|
56 73|10 49|62 46|10 2|50 72|91 52|51 53|1 88|75 79|100 52|24 51|54 54|90 84|86 51|59 55|37 53|
44 27|90 51|38 54|90 98|50 28|9 48|49 47|99 12|25 21|0 48|76 49|46 46|10 16|14 49|41 45|63 47|
73 44|49 90|46 38|2 90|72 50|52 9|53 49|88 99|79 25|52 0|51 76|54 46|84 10|51 14|55 41|53 63|
73 56|49 10|46 62|2 10|72 50|52 91|53 51|88 1|79 75|52 100|51 24|54 54|84 90|51 86|55 59|53 37|
56 27|10 51|62 54|10 98|50 28|91 48|51 47|1 12|75 21|100 48|24 49|54 46|90 16|86 49|59 45|37 47|
27 44|51 90|54 38|98 90|28 50|48 9|47 49|12 99|21 25|48 0|49 76|46 46|16 10|49 14|45 41|47 63|
26 71|39 48|53 62|29 12|7 84|39 51|41 89|86 28|70 50|63 77|57 77|41 92|82 87|35 81|51 51|71 48|
74 71|61 48|47 62|71 12|93 84|61 51|59 89|14 28|30 50|37 77|43 77|59 92|18 87|65 81|49 51|29 48|
26 29|39 52|53 38|29 88|7 16|39 49|41 11|86 72|70 50|63 23|57 23|41 8|82 13|35 19|51 49|71 52|
71 26|48 39|62 53|12 29|84 7|51 39|89 41|28 86|50 70|77 63|77 57|92 41|87 82|81 35|51 51|48 71|
71 74|48 61|62 47|12 71|84 93|51 61|89 59|28 14|50 30|77 37|77 43|92 59|87 18|81 65|51 49|48 29|
74 29|61 52|47 38|71 88|93 16|61 49|59 11|14 72|30 50|37 23|43 23|59 8|18 13|65 19|49 49|29 52|
29 26|52 39|38 53|88 29|16 7|49 39|11 41|72 86|50 70|23 63|23 57|8 41|13 82|19 35|49 51|52 71|
58 83|13 52|23 68|67 46|43 63|46 58|0 79|90 18|39 97|95 97|99 99|48 53|2 46|16 55|45 83|66 48|
